test,time_window,time_leap,pattern,frequency,length,size
datamining, 600000, 300000, 011223, 555, 3, 4
datamining, 600000, 300000, 011221, 35, 3, 3
datamining, 600000, 300000, 0110, 4, 2, 2
datamining, 600000, 300000, 01122113, 1, 4, 4
datamining, 600000, 300000, 01122112, 1, 4, 3
datamining, 600000, 300000, 011220, 1, 3, 3
datamining, 600000, 300000, 011002, 1, 3, 3
datamining, 600000, 300000, 011001, 1, 3, 2
datamining, 600000, 360000, 01, 5233, 1, 2
datamining, 600000, 360000, 0112, 1204, 2, 3
datamining, 600000, 360000, 011223, 555, 3, 4
datamining, 600000, 360000, 011221, 35, 3, 3
datamining, 600000, 360000, 0110, 4, 2, 2
datamining, 600000, 360000, 01122113, 1, 4, 4
datamining, 600000, 360000, 01122112, 1, 4, 3
datamining, 600000, 360000, 011220, 1, 3, 3
datamining, 600000, 360000, 011002, 1, 3, 3
datamining, 600000, 360000, 011001, 1, 3, 2
datamining, 600000, 420000, 01, 5233, 1, 2
datamining, 600000, 420000, 0112, 1237, 2, 3
datamining, 600000, 420000, 011223, 561, 3, 4
datamining, 600000, 420000, 011221, 41, 3, 3
datamining, 600000, 420000, 0110, 4, 2, 2
datamining, 600000, 420000, 01122113, 1, 4, 4
datamining, 600000, 420000, 01122112, 1, 4, 3
datamining, 600000, 420000, 011220, 1, 3, 3
datamining, 600000, 420000, 011002, 1, 3, 3
datamining, 600000, 420000, 011001, 1, 3, 2
datamining, 600000, 480000, 01, 5233, 1, 2
datamining, 600000, 480000, 0112, 1284, 2, 3
datamining, 600000, 480000, 011223, 566, 3, 4
datamining, 600000, 480000, 011221, 46, 3, 3
datamining, 600000, 480000, 0110, 4, 2, 2
datamining, 600000, 480000, 01122113, 1, 4, 4
datamining, 600000, 480000, 01122112, 1, 4, 3
datamining, 600000, 480000, 011220, 1, 3, 3
datamining, 600000, 480000, 011002, 1, 3, 3
datamining, 600000, 480000, 011001, 1, 3, 2
datamining, 600000, 540000, 01, 5233, 1, 2
datamining, 600000, 540000, 0112, 1362, 2, 3
datamining, 600000, 540000, 011223, 574, 3, 4
datamining, 600000, 540000, 011221, 54, 3, 3
datamining, 600000, 540000, 0110, 4, 2, 2
datamining, 600000, 540000, 01122113, 1, 4, 4
datamining, 600000, 540000, 01122112, 1, 4, 3
datamining, 600000, 540000, 011220, 1, 3, 3
datamining, 600000, 540000, 011002, 1, 3, 3
datamining, 600000, 540000, 011001, 1, 3, 2
datamining, 600000, 600000, 01, 5233, 1, 2
datamining, 600000, 600000, 0112, 1569, 2, 3
datamining, 600000, 600000, 011223, 631, 3, 4
datamining, 600000, 600000, 011221, 111, 3, 3
datamining, 600000, 600000, 0110, 4, 2, 2
datamining, 600000, 600000, 01122113, 1, 4, 4
datamining, 600000, 600000, 01122112, 1, 4, 3
datamining, 600000, 600000, 011220, 1, 3, 3
datamining, 600000, 600000, 011002, 1, 3, 3
datamining, 600000, 600000, 011001, 1, 3, 2
datamining, 660000, 60000, 01, 5233, 1, 2
datamining, 660000, 60000, 0112, 488, 2, 3
datamining, 660000, 60000, 011223, 48, 3, 4
datamining, 660000, 60000, 011221, 12, 3, 3
datamining, 660000, 60000, 0110, 2, 2, 2
datamining, 660000, 120000, 01, 5233, 1, 2
datamining, 660000, 120000, 0112, 803, 2, 3
datamining, 660000, 120000, 011223, 250, 3, 4
datamining, 660000, 120000, 011221, 14, 3, 3
datamining, 660000, 120000, 0110, 2, 2, 2
datamining, 660000, 180000, 01, 5233, 1, 2
datamining, 660000, 180000, 0112, 984, 2, 3
datamining, 660000, 180000, 011223, 383, 3, 4
datamining, 660000, 180000, 011221, 35, 3, 3
datamining, 660000, 180000, 0110, 4, 2, 2
datamining, 660000, 180000, 01122113, 1, 4, 4
datamining, 660000, 180000, 01122112, 1, 4, 3
datamining, 660000, 180000, 011220, 1, 3, 3
datamining, 660000, 180000, 011002, 1, 3, 3
datamining, 660000, 180000, 011001, 1, 3, 2
datamining, 660000, 240000, 01, 5233, 1, 2
datamining, 660000, 240000, 0112, 1180, 2, 3
datamining, 660000, 240000, 011223, 555, 3, 4
datamining, 660000, 240000, 011221, 35, 3, 3
datamining, 660000, 240000, 0110, 4, 2, 2
datamining, 660000, 240000, 01122113, 1, 4, 4
datamining, 660000, 240000, 01122112, 1, 4, 3
datamining, 660000, 240000, 011220, 1, 3, 3
datamining, 660000, 240000, 011002, 1, 3, 3
datamining, 660000, 240000, 011001, 1, 3, 2
datamining, 660000, 300000, 01, 5233, 1, 2
datamining, 660000, 300000, 0112, 1191, 2, 3
datamining, 660000, 300000, 011223, 555, 3, 4
datamining, 660000, 300000, 011221, 35, 3, 3
datamining, 660000, 300000, 0110, 4, 2, 2
datamining, 660000, 300000, 01122113, 1, 4, 4
datamining, 660000, 300000, 01122112, 1, 4, 3
datamining, 660000, 300000, 011220, 1, 3, 3
datamining, 660000, 300000, 011002, 1, 3, 3
datamining, 660000, 300000, 011001, 1, 3, 2
datamining, 660000, 360000, 01, 5233, 1, 2
datamining, 660000, 360000, 0112, 1204, 2, 3
datamining, 660000, 360000, 011223, 555, 3, 4
datamining, 660000, 360000, 011221, 35, 3, 3
datamining, 660000, 360000, 0110, 4, 2, 2
datamining, 660000, 360000, 01122113, 1, 4, 4
datamining, 660000, 360000, 01122112, 1, 4, 3
datamining, 660000, 360000, 011220, 1, 3, 3
datamining, 660000, 360000, 011002, 1, 3, 3
datamining, 660000, 360000, 011001, 1, 3, 2
datamining, 660000, 420000, 01, 5233, 1, 2
datamining, 660000, 420000, 0112, 1237, 2, 3
datamining, 660000, 420000, 011223, 561, 3, 4
datamining, 660000, 420000, 011221, 41, 3, 3
datamining, 660000, 420000, 0110, 4, 2, 2
datamining, 660000, 420000, 01122113, 1, 4, 4
datamining, 660000, 420000, 01122112, 1, 4, 3
datamining, 660000, 420000, 011220, 1, 3, 3
datamining, 660000, 420000, 011002, 1, 3, 3
datamining, 660000, 420000, 011001, 1, 3, 2
datamining, 660000, 480000, 01, 5233, 1, 2
datamining, 660000, 480000, 0112, 1284, 2, 3
datamining, 660000, 480000, 011223, 566, 3, 4
datamining, 660000, 480000, 011221, 46, 3, 3
datamining, 660000, 480000, 0110, 4, 2, 2
datamining, 660000, 480000, 01122113, 1, 4, 4
datamining, 660000, 480000, 01122112, 1, 4, 3
datamining, 660000, 480000, 011220, 1, 3, 3
datamining, 660000, 480000, 011002, 1, 3, 3
datamining, 660000, 480000, 011001, 1, 3, 2
datamining, 660000, 540000, 01, 5233, 1, 2
datamining, 660000, 540000, 0112, 1362, 2, 3
datamining, 660000, 540000, 011223, 574, 3, 4
datamining, 660000, 540000, 011221, 54, 3, 3
datamining, 660000, 540000, 0110, 4, 2, 2
datamining, 660000, 540000, 01122113, 1, 4, 4
datamining, 660000, 540000, 01122112, 1, 4, 3
datamining, 660000, 540000, 011220, 1, 3, 3
datamining, 660000, 540000, 011002, 1, 3, 3
datamining, 660000, 540000, 011001, 1, 3, 2
datamining, 660000, 600000, 01, 5233, 1, 2
datamining, 660000, 600000, 0112, 1569, 2, 3
datamining, 660000, 600000, 011223, 631, 3, 4
datamining, 660000, 600000, 011221, 111, 3, 3
datamining, 660000, 600000, 0110, 4, 2, 2
datamining, 660000, 600000, 01122113, 1, 4, 4
datamining, 660000, 600000, 01122112, 1, 4, 3
datamining, 660000, 600000, 011220, 1, 3, 3
datamining, 660000, 600000, 011002, 1, 3, 3
datamining, 660000, 600000, 011001, 1, 3, 2
datamining, 660000, 660000, 01, 5233, 1, 2
datamining, 660000, 660000, 0112, 1750, 2, 3
datamining, 660000, 660000, 011223, 682, 3, 4
datamining, 660000, 660000, 011221, 162, 3, 3
datamining, 660000, 660000, 0110, 4, 2, 2
datamining, 660000, 660000, 01122113, 1, 4, 4
